# Original shape: (22920, 4, 3)
# Slice 0
15728.00,65.00,65.00
15729.00,69.00,69.00
4121.00,68.00,68.00

# Slice 47
4121.00,68.00,68.00
15729.00,69.00,69.00
22112.00,45.00,45.00
15753.00,44.00,44.00

# Slice 48
4122.00,70.00,70.00
4126.00,71.00,71.00
4127.00,72.00,72.00
4123.00,73.00,73.00

# Slice 49
4123.00,73.00,73.00
4127.00,72.00,72.00
16272.00,74.00,74.00
16271.00,75.00,75.00

# Slice 50
4126.00,71.00,71.00
15746.00,12.00,12.00
15745.00,11.00,11.00
4127.00,72.00,72.00

# Slice 51
4127.00,72.00,72.00
15745.00,11.00,11.00
22187.00,14.00,14.00
16272.00,74.00,74.00

# Slice 52
4122.00,70.00,70.00
4123.00,73.00,73.00
4128.00,76.00,76.00
4124.00,77.00,77.00

# Slice 53
4124.00,77.00,77.00
4128.00,76.00,76.00
15760.00,78.00,78.00
15761.00,79.00,79.00

# Slice 54
4123.00,73.00,73.00
16271.00,75.00,75.00
16270.00,80.00,80.00
4128.00,76.00,76.00

# Slice 55
4128.00,76.00,76.00
16270.00,80.00,80.00
22190.00,81.00,81.00
15760.00,78.00,78.00

# Slice 56
4122.00,70.00,70.00
4124.00,77.00,77.00
4129.00,82.00,82.00
4125.00,83.00,83.00

# Slice 57
4125.00,83.00,83.00
4129.00,82.00,82.00
15709.00,84.00,84.00
15710.00,85.00,85.00

# Slice 58
4124.00,77.00,77.00
15761.00,79.00,79.00
15762.00,86.00,86.00
4129.00,82.00,82.00

# Slice 59
4129.00,82.00,82.00
15762.00,86.00,86.00
22107.00,87.00,87.00
15709.00,84.00,84.00

# Slice 60
4122.00,70.00,70.00
4125.00,83.00,83.00
4130.00,88.00,88.00
4126.00,71.00,71.00

# Slice 61
4126.00,71.00,71.00
4130.00,88.00,88.00
15747.00,19.00,19.00
15746.00,12.00,12.00

# Slice 62
4125.00,83.00,83.00
15710.00,85.00,85.00
15711.00,89.00,89.00
4130.00,88.00,88.00

# Slice 63
4130.00,88.00,88.00
15711.00,89.00,89.00
22106.00,20.00,20.00
15747.00,19.00,19.00

# Slice 64
4131.00,90.00,90.00
4135.00,91.00,91.00
4136.00,92.00,92.00
4132.00,93.00,93.00

# Slice 65
4132.00,93.00,93.00
4136.00,92.00,92.00
16275.00,94.00,94.00
16274.00,95.00,95.00

# Slice 66
4135.00,91.00,91.00
15758.00,59.00,59.00
15757.00,58.00,58.00
4136.00,92.00,92.00

# Slice 67
4136.00,92.00,92.00
15757.00,58.00,58.00
22189.00,61.00,61.00
16275.00,94.00,94.00

# Slice 68
4131.00,90.00,90.00
4132.00,93.00,93.00
4137.00,96.00,96.00
4133.00,97.00,97.00

# Slice 69
4133.00,97.00,97.00
4137.00,96.00,96.00
15763.00,98.00,98.00
15764.00,99.00,99.00

# Slice 70
4132.00,93.00,93.00
16274.00,95.00,95.00
16273.00,100.00,100.00
4137.00,96.00,96.00

# Slice 71
4137.00,96.00,96.00
16273.00,100.00,100.00
22191.00,101.00,101.00
15763.00,98.00,98.00

# Slice 72
4131.00,90.00,90.00
4133.00,97.00,97.00
4138.00,102.00,102.00
4134.00,103.00,103.00

# Slice 73
4134.00,103.00,103.00
4138.00,102.00,102.00
15730.00,104.00,104.00
15731.00,105.00,105.00

# Slice 74
4133.00,97.00,97.00
15764.00,99.00,99.00
15765.00,106.00,106.00
4138.00,102.00,102.00

# Slice 75
4138.00,102.00,102.00
15765.00,106.00,106.00
22114.00,107.00,107.00
15730.00,104.00,104.00

# Slice 76
4131.00,90.00,90.00
4134.00,103.00,103.00
4139.00,108.00,108.00
4135.00,91.00,91.00

# Slice 77
4135.00,91.00,91.00
4139.00,108.00,108.00
15759.00,66.00,66.00
15758.00,59.00,59.00

# Slice 78
4134.00,103.00,103.00
15731.00,105.00,105.00
15732.00,109.00,109.00
4139.00,108.00,108.00

# Slice 79
4139.00,108.00,108.00
15732.00,109.00,109.00
22113.00,67.00,67.00
15759.00,66.00,66.00

# Slice 80
4140.00,110.00,110.00
4144.00,111.00,111.00
4145.00,112.00,112.00
4141.00,113.00,113.00

# Slice 81
4141.00,113.00,113.00
4145.00,112.00,112.00
16278.00,114.00,114.00
16277.00,115.00,115.00

# Slice 82
4144.00,111.00,111.00
15761.00,79.00,79.00
15760.00,78.00,78.00
4145.00,112.00,112.00

# Slice 83
4145.00,112.00,112.00
15760.00,78.00,78.00
22190.00,81.00,81.00
16278.00,114.00,114.00

# Slice 84
4140.00,110.00,110.00
4141.00,113.00,113.00
4146.00,116.00,116.00
4142.00,117.00,117.00

# Slice 85
4142.00,117.00,117.00
4146.00,116.00,116.00
15766.00,118.00,118.00
15767.00,119.00,119.00

# Slice 86
4141.00,113.00,113.00
16277.00,115.00,115.00
16276.00,120.00,120.00
4146.00,116.00,116.00

# Slice 87
4146.00,116.00,116.00
16276.00,120.00,120.00
22192.00,121.00,121.00
15766.00,118.00,118.00

# Slice 88
4140.00,110.00,110.00
4142.00,117.00,117.00
4147.00,122.00,122.00
4143.00,123.00,123.00

# Slice 89
4143.00,123.00,123.00
4147.00,122.00,122.00
15712.00,124.00,124.00
15713.00,125.00,125.00

# Slice 90
4142.00,117.00,117.00
15767.00,119.00,119.00
15768.00,126.00,126.00
4147.00,122.00,122.00

# Slice 91
4147.00,122.00,122.00
15768.00,126.00,126.00
22108.00,127.00,127.00
15712.00,124.00,124.00

# Slice 92
4140.00,110.00,110.00
4143.00,123.00,123.00
4148.00,128.00,128.00
4144.00,111.00,111.00

# Slice 93
4144.00,111.00,111.00
